第n次,test_mse,test_mae
"1, 64",0.018414853140711784,0.09447668492794037
"2, 64",0.014861058443784714,0.08481144905090332
"3, 64",0.017850365489721298,0.09259889274835587
"4, 64",0.017959794029593468,0.09423140436410904
"5, 64",0.018007272854447365,0.09464625269174576
"6, 64",0.01819002255797386,0.0953783318400383
"7, 64",0.017914310097694397,0.09216178208589554
"8, 64",0.018024761229753494,0.09340623021125793
"9, 64",0.018043579533696175,0.09545877575874329
"10, 64",0.01953756995499134,0.10064875334501266
"mean,64",0.01788035873323679,0.0937818557024002
第n次,test_mse,test_mae
"1, 128",0.017949264496564865,0.09301302582025528
"2, 128",0.018390880897641182,0.09348779171705246
"3, 128",0.01931937411427498,0.09719020873308182
"4, 128",0.017566440626978874,0.0919990986585617
"5, 128",0.0176592618227005,0.09078481793403625
"6, 128",0.018052436411380768,0.09384555369615555
"7, 128",0.018468312919139862,0.09588451683521271
"8, 128",0.017621006816625595,0.0915244072675705
"9, 128",0.01834055967628956,0.09536859393119812
"10, 128",0.017979810014367104,0.09219055622816086
"mean,128",0.018134734779596328,0.09352885708212852
第n次,test_mse,test_mae
"1, 256",0.01780751161277294,0.0902727022767067
"2, 256",0.017705358564853668,0.09193139523267746
"3, 256",0.017885517328977585,0.0950787290930748
"4, 256",0.01649472862482071,0.08886884897947311
"5, 256",0.01741725206375122,0.09179866313934326
"6, 256",0.017765378579497337,0.0928441509604454
"7, 256",0.0172872431576252,0.09105727821588516
"8, 256",0.018289797008037567,0.09204693138599396
"9, 256",0.017996035516262054,0.09256207197904587
"10, 256",0.017134178429841995,0.08888240158557892
"mean,256",0.017578300088644028,0.09153431728482246
第n次,test_mse,test_mae
"1, 512",0.016919884830713272,0.0883871391415596
"2, 512",0.017321588471531868,0.09147587418556213
"3, 512",0.01637214608490467,0.08792483806610107
"4, 512",0.017713384702801704,0.09194106608629227
"5, 512",0.017513884231448174,0.0907914787530899
"6, 512",0.017261045053601265,0.089424729347229
"7, 512",0.017578672617673874,0.09017851948738098
"8, 512",0.017185153439641,0.08982188254594803
"9, 512",0.01735457219183445,0.0905432477593422
"10, 512",0.017281480133533478,0.0892816111445427
"mean,512",0.017250181175768375,0.08997703865170478
