第n次,test_mse,test_mae
"1, 64",0.012921159155666828,0.0843026340007782
"2, 64",0.012393939308822155,0.08305420726537704
"3, 64",0.010530713945627213,0.0763416513800621
"4, 64",0.012473905459046364,0.0835317000746727
"5, 64",0.010862498544156551,0.07500915974378586
"6, 64",0.011256163939833641,0.07767859101295471
"7, 64",0.010512171313166618,0.07392050325870514
"8, 64",0.012799613177776337,0.08349855989217758
"9, 64",0.012668175622820854,0.08226259052753448
"10, 64",0.010765346698462963,0.0776815414428711
"mean,64",0.011718368716537952,0.0797281138598919
第n次,test_mse,test_mae
"1, 128",0.00961484294384718,0.07040879875421524
"2, 128",0.01190611720085144,0.08118217438459396
"3, 128",0.011758719570934772,0.08043619990348816
"4, 128",0.011659026145935059,0.08038704842329025
"5, 128",0.010642504319548607,0.07617179304361343
"6, 128",0.01217030081897974,0.08131323754787445
"7, 128",0.012113946489989758,0.08257243782281876
"8, 128",0.010917428880929947,0.07590170949697495
"9, 128",0.012314176186919212,0.08036129921674728
"10, 128",0.011364408768713474,0.07911276817321777
"mean,128",0.01144614713266492,0.07878474667668342
第n次,test_mse,test_mae
"1, 256",0.012233668006956577,0.08112581074237823
"2, 256",0.014102740213274956,0.08971630036830902
"3, 256",0.01319616474211216,0.0851018950343132
"4, 256",0.011561291292309761,0.07820450514554977
"5, 256",0.011705892160534859,0.0792587548494339
"6, 256",0.012644508853554726,0.08384690433740616
"7, 256",0.009796141646802425,0.07291124761104584
"8, 256",0.013365169055759907,0.08504016697406769
"9, 256",0.011142769828438759,0.07757581770420074
"10, 256",0.011068547144532204,0.07810819894075394
"mean,256",0.012081689294427633,0.08108896017074585
第n次,test_mse,test_mae
"1, 512",0.022904830053448677,0.11720113456249237
"2, 512",0.019636694341897964,0.11397577077150345
"3, 512",0.019651765003800392,0.11423259228467941
"4, 512",0.011833424679934978,0.07935883849859238
"5, 512",0.019682642072439194,0.11461564153432846
"6, 512",0.01966273970901966,0.11353161185979843
"7, 512",0.01962733268737793,0.11385546624660492
"8, 512",0.019639773294329643,0.11359712481498718
"9, 512",0.019646158441901207,0.11471603065729141
"10, 512",0.019609572365880013,0.11397328972816467
"mean,512",0.019189493265002966,0.11090575009584427
