��n��,test_mse,test_mae
第n次,test_mse,test_mae
"1, 64",0.016536537557840347,0.08507272601127625
"2, 64",0.016805466264486313,0.08677715063095093
"3, 64",0.01584632694721222,0.08461102843284607
"4, 64",0.017301248386502266,0.08684464544057846
"5, 64",0.016752419993281364,0.08935466408729553
"6, 64",0.015992065891623497,0.08483322709798813
"7, 64",0.015430041588842869,0.0852900817990303
"8, 64",0.01564945839345455,0.083070769906044
"9, 64",0.01617554947733879,0.08335164934396744
"10, 64",0.018141670152544975,0.09130603075027466
"mean,64",0.016463078465312718,0.08605119735002517
第n次,test_mse,test_mae
"1, 128",0.016263635829091072,0.08632132411003113
"2, 128",0.017319677397608757,0.0883212685585022
"3, 128",0.016197117045521736,0.08859817683696747
"4, 128",0.015969134867191315,0.0856301411986351
"5, 128",0.01624968647956848,0.08437605947256088
"6, 128",0.016788868233561516,0.08699599653482437
"7, 128",0.015664616599678993,0.08377347141504288
"8, 128",0.016773058101534843,0.08640865236520767
"9, 128",0.01735627092421055,0.08828180283308029
"10, 128",0.01643151231110096,0.08584123849868774
"mean,128",0.016501357778906822,0.08645481318235397
第n次,test_mse,test_mae
"1, 256",0.016965392976999283,0.08736980706453323
"2, 256",0.016484007239341736,0.08859936147928238
"3, 256",0.016947003081440926,0.08719742298126221
"4, 256",0.01632424257695675,0.08819681406021118
"5, 256",0.01639011688530445,0.08602402359247208
"6, 256",0.01751614548265934,0.08830998837947845
"7, 256",0.017176110297441483,0.09018873423337936
"8, 256",0.016448166221380234,0.08677193522453308
"9, 256",0.01688055694103241,0.0870359018445015
"10, 256",0.01635986566543579,0.0854455903172493
"mean,256",0.01674916073679924,0.08751395791769027
第n次,test_mse,test_mae
"1, 512",0.01573820225894451,0.08500988781452179
"2, 512",0.015101575292646885,0.08326870948076248
"3, 512",0.01492487546056509,0.08290354907512665
"4, 512",0.01657867431640625,0.08746342360973358
"5, 512",0.015286168083548546,0.0799553170800209
"6, 512",0.0162233617156744,0.08538947254419327
"7, 512",0.01606868766248226,0.08486752212047577
"8, 512",0.016042882576584816,0.08716907352209091
"9, 512",0.01578567549586296,0.08343847841024399
"10, 512",0.01653445139527321,0.08641040325164795
"mean,512",0.015828455425798894,0.08458758369088173
