第n次,test_mse,test_mae
"1, 64",0.017104707658290863,0.08633078634738922
"2, 64",0.01899545080959797,0.0946536511182785
"3, 64",0.01687314361333847,0.08762027323246002
"4, 64",0.01914062350988388,0.09478828310966492
"5, 64",0.017117468640208244,0.08712465316057205
"6, 64",0.017328133806586266,0.08885973691940308
"7, 64",0.01711212284862995,0.08851299434900284
"8, 64",0.017343370243906975,0.08827944844961166
"9, 64",0.01719198003411293,0.08744259178638458
"10, 64",0.018180744722485542,0.09089557081460953
"mean,64",0.01763877458870411,0.08945079892873764
第n次,test_mse,test_mae
"1, 128",0.018366869539022446,0.0914430171251297
"2, 128",0.016796963289380074,0.08784394711256027
"3, 128",0.0173488836735487,0.09250357747077942
"4, 128",0.016949903219938278,0.0873643308877945
"5, 128",0.017413008958101273,0.08744217455387115
"6, 128",0.016606474295258522,0.08685740828514099
"7, 128",0.017011720687150955,0.0915798619389534
"8, 128",0.017589930444955826,0.08985361456871033
"9, 128",0.016722043976187706,0.08678911626338959
"10, 128",0.017129994928836823,0.08810652047395706
"mean,128",0.01719357930123806,0.08897835686802864
第n次,test_mse,test_mae
"1, 256",0.016994034871459007,0.0899142399430275
"2, 256",0.017298288643360138,0.09001360088586807
"3, 256",0.016640502959489822,0.08970259130001068
"4, 256",0.015446171164512634,0.0866122916340828
"5, 256",0.01747673936188221,0.09173329919576645
"6, 256",0.017070787027478218,0.0907788798213005
"7, 256",0.017335446551442146,0.0914241224527359
"8, 256",0.01683914102613926,0.0878676027059555
"9, 256",0.017546430230140686,0.0906449630856514
"10, 256",0.017665106803178787,0.09227848798036575
"mean,256",0.01703126486390829,0.09009700790047645

第n次,test_mse,test_mae
"1, 64",0.01768643409013748,0.09174712747335434
