timestamps,humidity,temperature,lightness,count
1598614386.0,82.3,30.3,0.0,2624
1598614686.0,81.5,30.3,0.0,2625
1598614986.0,81.5,30.3,0.0,2626
1598615287.0,81.3,30.3,0.0,2627
1598615587.0,81.0,30.3,0.0,2628
1598615887.0,80.9,30.3,0.0,2629
1598616187.0,80.8,30.3,0.0,2630
1598616488.0,81.0,30.3,0.0,2631
1598616788.0,80.6,30.3,0.0,2632
1598617088.0,80.8,30.3,0.0,2633
1598617389.0,80.5,30.3,0.0,2634
1598617689.0,80.4,30.3,0.0,2635
1598617989.0,80.5,30.3,0.0,2636
1598618289.0,80.2,30.2,0.0,2637
1598618590.0,80.4,30.2,0.0,2638
1598618890.0,79.7,30.2,0.0,2639
1598619190.0,79.8,30.3,0.0,2640
1598619490.0,79.6,30.3,0.0,2641
1598619791.0,79.6,30.2,0.0,2642
1598620091.0,79.5,30.2,0.0,2643
1598620391.0,79.9,30.2,0.0,2644
1598620692.0,79.6,30.2,0.0,2645
1598620992.0,79.7,30.2,0.0,2646
1598621292.0,80.0,30.1,0.0,2647
1598621592.0,79.2,30.1,0.0,2648
1598621893.0,79.3,30.1,0.0,2649
1598622193.0,79.5,30.1,0.0,2650
1598622493.0,79.0,30.1,0.0,2651
1598622794.0,79.0,30.0,0.0,2652
1598623094.0,79.7,30.0,0.0,2653
1598623394.0,78.9,30.0,0.0,2654
1598623694.0,79.5,30.0,0.0,2655
1598623995.0,78.9,29.9,0.0,2656
1598624295.0,79.0,30.0,0.0,2657
1598624595.0,79.2,30.0,0.0,2658
1598624895.0,79.1,29.9,0.0,2659
1598625196.0,79.0,29.9,0.0,2660
1598625496.0,79.2,29.9,0.0,2661
1598625796.0,79.2,29.9,0.0,2662
1598626097.0,79.4,29.9,0.0,2663
1598626397.0,79.3,29.8,0.0,2664
1598626697.0,79.2,29.8,0.0,2665
1598626997.0,79.3,29.8,0.0,2666
1598627298.0,78.9,29.8,0.0,2667
1598627598.0,79.1,29.7,0.0,2668
1598627898.0,78.7,29.7,0.0,2669
1598628199.0,78.5,29.7,0.0,2670
1598628499.0,78.4,29.7,0.0,2671
1598628799.0,79.0,29.7,0.0,2672
1598629099.0,78.6,29.6,0.0,2673
1598629400.0,79.1,29.6,0.0,2674
1598629700.0,78.6,29.6,0.0,2675
1598630000.0,78.3,29.6,0.0,2676
1598630300.0,78.4,29.6,0.0,2677
1598630601.0,78.4,29.6,0.0,2678
1598630901.0,78.4,29.6,0.0,2679
1598631201.0,78.4,29.5,0.0,2680
1598631502.0,78.1,29.5,0.0,2681
1598631802.0,78.2,29.5,0.0,2682
1598632102.0,78.3,29.5,0.0,2683
1598632402.0,78.6,29.5,0.0,2684
1598632703.0,78.2,29.5,0.0,2685
1598633003.0,78.5,29.5,0.0,2686
1598633303.0,78.8,29.5,0.0,2687
1598633604.0,77.9,29.5,0.0,2688
1598633904.0,78.2,29.4,0.0,2689
1598634204.0,78.4,29.4,0.0,2690
1598634504.0,78.3,29.4,0.0,2691
1598634805.0,78.1,29.4,0.0,2692
1598635105.0,78.0,29.4,0.0,2693
1598635405.0,77.8,29.4,0.0,2694
1598635706.0,78.1,29.4,0.0,2695
1598636006.0,78.0,29.4,0.0,2696
1598636306.0,77.9,29.4,0.0,2697
1598636606.0,78.1,29.4,0.0,2698
1598636907.0,77.8,29.4,0.0,2699
1598637207.0,78.1,29.4,0.0,2700
