²Än¦¸,test_loss
"1, 64",0.019126273606371806
"2, 64",0.02192349225913242
"3, 64",0.01909279989474687
"4, 64",0.019693424790177626
"5, 64",0.029576182020411408
"6, 64",0.018882958916866487
"7, 64",0.018854399930467385
"8, 64",0.01839027447064552
"9, 64",0.017582003638391235
"10, 64",0.01918425908208183
"mean,64",0.020230606860929257
"1, 128",0.029569265920122257
"2, 128",0.0295984243009494
"3, 128",0.029702457750201267
"4, 128",0.029553444135418543
"5, 128",0.028989585596542165
"6, 128",0.02942769569378738
"7, 128",0.029524178324610337
"8, 128",0.02963275011684429
"9, 128",0.029581530395012698
"10, 128",0.029542998703112007
"mean,128",0.029512233093660033
